"elimfilters_sku","source_sku","reason"
"EA53201","C20320/1","Duplicate (2 instances collapsed to 1)"
"EA52039","C2039","Duplicate (2 instances collapsed to 1)"
"EA52050","C2050","Duplicate (2 instances collapsed to 1)"
"EA50500","C20500","Duplicate (2 instances collapsed to 1)"
"EA50551","C2055/1","Duplicate (3 instances collapsed to 1)"
"EA51001","C21001","Duplicate (6 instances collapsed to 1)"
"EA51002","C21002","Duplicate (4 instances collapsed to 1)"
"EA51011","C21011","Duplicate (3 instances collapsed to 1)"
"EA51012","C21012","Duplicate (3 instances collapsed to 1)"
"EA51017","C21017","Duplicate (2 instances collapsed to 1)"
"EA51038","C21038","Duplicate (2 instances collapsed to 1)"
"EA51104","C21104","Duplicate (2 instances collapsed to 1)"
"EA51110","C21110","Duplicate (2 instances collapsed to 1)"
"EA51116","C21116","Duplicate (4 instances collapsed to 1)"
"EA52119","C2119","Duplicate (2 instances collapsed to 1)"
"EA52120","C2120","Duplicate (3 instances collapsed to 1)"
"EA51201","C2120/1","Duplicate (2 instances collapsed to 1)"
"EA52129","C2129","Duplicate (2 instances collapsed to 1)"
"EA52154","C2154","Duplicate (2 instances collapsed to 1)"
"EA51630","C21630","Duplicate (2 instances collapsed to 1)"
"EA56301","C21630/1","Duplicate (2 instances collapsed to 1)"
"EA52192","C2192","Duplicate (2 instances collapsed to 1)"
"EA52015","C22015","Duplicate (2 instances collapsed to 1)"
"EA52017","C22017","Duplicate (2 instances collapsed to 1)"
"EA52024","C22024","Duplicate (2 instances collapsed to 1)"
"EA52026","C22026","Duplicate (2 instances collapsed to 1)"
"EA52032","C22032","Duplicate (2 instances collapsed to 1)"
"EA50331","C22033/1","Duplicate (2 instances collapsed to 1)"
"EA51172","C22117/2","Duplicate (2 instances collapsed to 1)"
"EA52212","C2212","Duplicate (2 instances collapsed to 1)"
"EA52331","C2233/1","Duplicate (2 instances collapsed to 1)"
"EA52337","C22337","Duplicate (3 instances collapsed to 1)"
"EA52341","C2234/1","Duplicate (2 instances collapsed to 1)"
"EA52431","C2243/1","Duplicate (2 instances collapsed to 1)"
"EA52526","C22526","Duplicate (2 instances collapsed to 1)"
"EA52561","C2256/1","Duplicate (3 instances collapsed to 1)"
"EA52562","C2256/2","Duplicate (3 instances collapsed to 1)"
"EA52580","C22580","Duplicate (2 instances collapsed to 1)"
"EA52631","C2263/1","Duplicate (3 instances collapsed to 1)"
"EA52952","C2295/2","Duplicate (2 instances collapsed to 1)"
