"elimfilters_sku","source_sku","segment","production_tier","missing_data_count","missing_components"
"EA51635","C1635","Air Filter","TIER_P5","1","Competitor"
"EA56406","C16406","Air Filter","TIER_P5","1","Competitor"
"EA51652","C1652","Air Filter","TIER_P5","1","Competitor"
"EA56521","C1652/1","Air Filter","TIER_P5","1","Competitor"
"EA56522","C1652/2","Air Filter","TIER_P5","1","Competitor"
"EA51677","C1677","Air Filter","TIER_P5","1","Competitor"
"EA51699","C1699","Air Filter","TIER_P5","1","Competitor"
"EA57004","C17004","Air Filter","TIER_P5","1","Competitor"
"EA57006","C17006","Air Filter","TIER_P5","1","Competitor"
"EA57008","C17008","Air Filter","TIER_P5","1","Competitor"
"EA57009","C17009","Air Filter","TIER_P5","1","Competitor"
"EA57010","C17010","Air Filter","TIER_P5","1","Competitor"
"EA57011","C17011","Air Filter","TIER_P5","1","Competitor"
"EA50121","C17012/1","Air Filter","TIER_P5","1","Competitor"
"EA57013","C17013","Air Filter","TIER_P5","1","Competitor"
"EA57014","C17014","Air Filter","TIER_P5","1","Competitor"
"EA57016","C17016","Air Filter","TIER_P5","1","Competitor"
"EA57017","C17017","Air Filter","TIER_P5","1","Competitor"
"EA57022","C17022","Air Filter","TIER_P5","1","Competitor"
"EA57023","C17023","Air Filter","TIER_P5","1","Competitor"
"EA57032","C17032","Air Filter","TIER_P5","1","Competitor"
"EA57035","C17035","Air Filter","TIER_P5","1","Competitor"
"EA57040","C17040","Air Filter","TIER_P5","1","Competitor"
"EA57100","C17100","Air Filter","TIER_P5","1","Competitor"
"EA57124","C17124","Air Filter","TIER_P4","1","OEM"
"EA57129","C17129","Air Filter","TIER_P5","1","Competitor"
"EA51371","C17137/1X","Air Filter","TIER_P5","1","Competitor"
"EA57137","C17137X","Air Filter","TIER_P5","1","Competitor"
"EA57192","C17192","Air Filter","TIER_P5","1","Competitor"
"EA57217","C17217","Air Filter","TIER_P5","1","Competitor"
"EA52371","C17237/1","Air Filter","TIER_P5","1","Competitor"
"EA51724","C1724","Air Filter","TIER_P5","1","Competitor"
"EA57278","C17278","Air Filter","TIER_P5","1","Competitor"
"EA57337","C17337","Air Filter","TIER_P4","1","OEM"
"EA53402","C17340/2","Air Filter","TIER_P5","1","Competitor"
"EA51760","C1760","Air Filter","TIER_P5","1","Competitor"
"EA57601","C1760/1","Air Filter","TIER_P5","1","Competitor"
"EA51770","C1770","Air Filter","TIER_P5","1","Competitor"
"EA51776","C1776","Air Filter","TIER_P5","1","Competitor"
"EA58003","C18003","Air Filter","TIER_P5","1","Competitor"
"EA58004","C18004","Air Filter","TIER_P5","1","Competitor"
"EA58006","C18006","Air Filter","TIER_P5","1","Competitor"
"EA58008","C18008","Air Filter","TIER_P5","1","Competitor"
"EA58009","C18009X","Air Filter","TIER_P5","1","Competitor"
"EA58016","C18016","Air Filter","TIER_P5","1","Competitor"
"EA58021","C18021","Air Filter","TIER_P5","1","Competitor"
"EA58024","C18024","Air Filter","TIER_P5","1","Competitor"
"EA58028","C18028","Air Filter","TIER_P5","1","Competitor"
"EA58029","C18029X","Air Filter","TIER_P5","1","Competitor"
"EA58037","C18037","Air Filter","TIER_P5","1","Competitor"
"EA58114","C18114","Air Filter","TIER_P5","1","Competitor"
"EA58121","C18121","Air Filter","TIER_P5","1","Competitor"
"EA58133","C18133","Air Filter","TIER_P5","1","Competitor"
"EA58143","C18143","Air Filter","TIER_P5","1","Competitor"
"EA58149","C18149","Air Filter","TIER_P4","1","OEM"
