elimfilters_sku,source_sku,segment,oem_count,oem_brand,oem_code,recovery_score,recovery_tier
EC52063,CUK22063,Cabin Filter,0,,,0,TIER_E
EC52065,CUK22065,Cabin Filter,0,,,0,TIER_E
EC52067,CUK22067,Cabin Filter,0,,,0,TIER_E
EC50782,CUK22078/2,Cabin Filter,0,,,0,TIER_E
EC52087,CUK22087,Cabin Filter,0,,,0,TIER_E
EC52142,CUK2214/2,Cabin Filter,0,,,0,TIER_E
EC52200,CUK22200,Cabin Filter,0,,,0,TIER_E
EC52227,CUK2227M,Cabin Filter,0,,,0,TIER_E
EC52412,CUK2241/2,Cabin Filter,0,,,0,TIER_E
EC50042,CUK23004/2,Cabin Filter,0,,,0,TIER_E
EC50052,CUK23005/2,Cabin Filter,0,,,0,TIER_E
EC50142,CUK23014/2,Cabin Filter,0,,,0,TIER_E
EC51422,CUK23014/2/2,Cabin Filter,0,,,0,TIER_E
EC50152,CUK23015/2,Cabin Filter,0,,,0,TIER_E
EC51522,CUK23015/2/2,Cabin Filter,0,,,0,TIER_E
EC53016,CUK23016,Cabin Filter,0,,,0,TIER_E
EC53018,CUK23018,Cabin Filter,0,,,0,TIER_E
EC53019,CUK23019,Cabin Filter,0,,,0,TIER_E
EC50191,CUK23019/1M,Cabin Filter,0,,,0,TIER_E
EC53021,CUK23021,Cabin Filter,0,,,0,TIER_E
EC53023,CUK23023,Cabin Filter,0,,,0,TIER_E
EC53029,CUK23029,Cabin Filter,0,,,0,TIER_E
EC53030,CUK23030,Cabin Filter,0,,,0,TIER_E
EC53034,CUK23034,Cabin Filter,0,,,0,TIER_E
EC53036,CUK23036,Cabin Filter,0,,,0,TIER_E
EC53041,CUK23041,Cabin Filter,0,,,0,TIER_E
EC53065,CUK23065,Cabin Filter,0,,,0,TIER_E
