"elimfilters_sku","source_sku","segment","has_oem","has_competitor","has_applications","has_specifications","production_tier"
"EA51111","C1111/1","Air Filter","0","0","1","1","TIER_P5"
"EA51112","C1112","Air Filter","1","0","1","1","TIER_P5"
"EA51121","C1112/1","Air Filter","1","0","1","1","TIER_P5"
"EA51122","C1112/2","Air Filter","1","0","1","1","TIER_P5"
"EA51127","C1112/7","Air Filter","1","0","1","1","TIER_P5"
"EA51120","C11120","Air Filter","1","0","1","1","TIER_P5"
"EA51127","C11127","Air Filter","0","0","1","1","TIER_P5"
"EA51113","C1113","Air Filter","0","1","0","0","TIER_P4"
"EA51121","C1121","Air Filter","1","0","1","1","TIER_P5"
"EA51131","C1131","Air Filter","1","0","1","1","TIER_P5"
"EA51311","C1131/1","Air Filter","1","0","1","1","TIER_P5"
"EA51132","C1132","Air Filter","1","0","1","1","TIER_P5"
"EA51321","C1132/1","Air Filter","0","0","1","1","TIER_P5"
"EA51134","C1134","Air Filter","1","0","1","1","TIER_P5"
"EA51341","C1134/1","Air Filter","1","0","1","1","TIER_P5"
"EA51140","C1140","Air Filter","1","0","1","1","TIER_P5"
"EA51401","C1140/1","Air Filter","0","0","1","1","TIER_P5"
"EAC1145","C1145","Air Filter","0","0","0","1","TIER_P5"
"EA51454","C1145/4","Air Filter","0","1","0","1","TIER_P4"
"EA51455","C1145/5","Air Filter","0","1","0","1","TIER_P4"
"EA51456","C1145/6","Air Filter","1","0","1","1","TIER_P5"
"EA51149","C1149","Air Filter","0","1","0","0","TIER_P4"
"EA51150","C1150","Air Filter","1","0","1","1","TIER_P5"
"EA51500","C11500","Air Filter","0","0","1","1","TIER_P5"
"EA51151","C1151","Air Filter","1","1","0","1","TIER_P3"
"EA51154","C1154","Air Filter","0","1","0","1","TIER_P4"
"EA51157","C1157","Air Filter","1","0","1","1","TIER_P5"
"EAC1170","C1170","Air Filter","0","0","0","0","TIER_P5"
"EA51176","C1176","Air Filter","1","0","1","1","TIER_P5"
"EA51763","C1176/3","Air Filter","1","0","1","1","TIER_P5"
"EA51764","C1176/4","Air Filter","1","0","1","1","TIER_P5"
"EA50118","C118","Air Filter","1","0","1","1","TIER_P5"
"EA51184","C1184","Air Filter","1","0","1","1","TIER_P5"
"EA51185","C1185","Air Filter","1","1","0","0","TIER_P3"
"EA51188","C1188","Air Filter","0","1","1","1","TIER_P4"
"EA51188","C1188X","Air Filter","1","0","1","1","TIER_P5"
"EA51189","C1189","Air Filter","1","0","1","1","TIER_P5"
"EA51196","C1196","Air Filter","0","1","1","1","TIER_P4"
"EA51962","C1196/2","Air Filter","1","1","1","1","TIER_P1"
"EA52003","C12003","Air Filter","1","0","1","1","TIER_P5"
"EA52004","C12004","Air Filter","1","1","1","1","TIER_P1"
"EA52006","C12006","Air Filter","0","0","1","1","TIER_P5"
"EA52007","C12007","Air Filter","0","0","1","1","TIER_P5"
"EA52009","C12009","Air Filter","1","1","1","1","TIER_P1"
"EA52011","C12011","Air Filter","1","0","1","1","TIER_P5"
"EA52013","C12013X","Air Filter","0","0","1","0","TIER_P5"
"EA52014","C12014","Air Filter","0","1","0","1","TIER_P4"
"EA52100","C12100","Air Filter","0","1","1","1","TIER_P4"
"EA52100","C12100X","Air Filter","1","1","1","1","TIER_P1"
"EA52102","C12102","Air Filter","0","0","1","1","TIER_P5"
"EA52104","C12104","Air Filter","1","0","1","1","TIER_P5"
"EA52107","C12107","Air Filter","1","0","1","1","TIER_P5"
"EA51071","C12107/1","Air Filter","1","0","1","1","TIER_P5"
"EA52114","C12114","Air Filter","0","0","1","1","TIER_P5"
"EA51141","C12114/1","Air Filter","0","0","1","1","TIER_P5"
"EA51161","C12116/1","Air Filter","0","0","1","1","TIER_P5"
"EA51162","C12116/2","Air Filter","1","0","1","1","TIER_P5"
"EA51213","C1213","Air Filter","1","0","1","1","TIER_P5"
"EA52133","C12133","Air Filter","1","0","1","1","TIER_P5"
"EA51331","C12133/1","Air Filter","1","0","1","1","TIER_P5"
"EAC12148","C12148","Air Filter","0","0","0","1","TIER_P5"
"EA52155","C12155","Air Filter","0","0","1","1","TIER_P5"
"EA52178","C12178","Air Filter","1","0","1","1","TIER_P5"
"EA51781","C12178/1","Air Filter","1","0","1","1","TIER_P5"
"EA51782","C12178/2","Air Filter","1","0","1","1","TIER_P5"
"EA51219","C1219","Air Filter","0","1","0","1","TIER_P4"
"EA51226","C1226","Air Filter","0","0","1","1","TIER_P5"
"EA51230","C1230","Air Filter","0","1","0","0","TIER_P4"
"EA51233","C1233","Air Filter","1","0","1","1","TIER_P5"
"EA51236","C1236","Air Filter","1","1","0","1","TIER_P3"
"EA51237","C1237","Air Filter","0","0","1","1","TIER_P5"
"EA51243","C1243","Air Filter","0","1","0","1","TIER_P4"
"EA51245","C1245","Air Filter","0","0","1","1","TIER_P5"
"EA51247","C1247","Air Filter","1","0","1","1","TIER_P5"
"EA51250","C1250","Air Filter","1","0","1","1","TIER_P5"
"EA51257","C1257","Air Filter","0","1","0","1","TIER_P4"
"EA51281","C1281","Air Filter","1","1","1","1","TIER_P1"
"EA52861","C1286/1","Air Filter","1","0","1","1","TIER_P5"
"EA51287","C1287","Air Filter","1","0","1","1","TIER_P5"
"EAC13008X","C13008X","Air Filter","1","0","0","1","TIER_P5"
"EA53009","C13009","Air Filter","1","1","1","1","TIER_P1"
"EA53010","C13010","Air Filter","0","1","0","0","TIER_P4"
"EA53103","C13103","Air Filter","1","0","1","1","TIER_P5"
"EA51031","C13103/1","Air Filter","1","0","1","1","TIER_P5"
