make,application_count,sku_count
FARESIN,48,20
SAMBRON,48,16
OLIVER,48,11
TAMROCK,47,23
SOLBUS (PL),47,12
WELLER,47,11
FARYMANN DIESEL,47,9
STEYR MOTORS (MARINE ENGINES),47,6
DENNIS BUS / ALEXANDER DENNIS,46,21
WESERHUETTE,46,10
RUGGERINI,46,6
HAKO,45,25
PEL JOB,45,13
MECALAC,45,10
DESTA,45,7
RICHIER,44,13
IVECO MOTORS,43,9
荣威(上汽) / ROEWE (SAIC),43,7
CONVEYANCER FORKLIFT TRUCKS,43,4
TONG YANG MOOLSAN (TYM),42,18
BARBER GREENE (CATERPILLAR),42,16
FAI (KOMATSU UTILITY EUROPE),42,11
KRIEGER TRAKTOREN,42,8
CARRIER TRANSICOLD,42,5
HIDROMEK,41,26
ATLAS WEYCOR (ATLAS WEYHAUSEN),41,24
HOLMER,41,10
TOYOTA INDUSTRIAL EQUIPMENT,41,8
COVENTRY CLIMAX,41,6
BLAW KNOX (VOLVO CE),40,20
SUMITOMO,40,14
MAN ENGINES,40,11
BENTLEY,40,9
HOUGH,40,8
RUTHEMEYER,40,7
DODGE (USA),40,6
AVIA (MISA),40,4
KOCKUMS,39,16
BEDFORD,39,11
陕汽重卡 / SHACMAN TRUCK,39,9
YUMBO,38,15
PRIESTMAN,38,14
STOTHERT & PITT,38,14
STAR TRUCKS,38,7
DATSUN,38,6
DROEGMOELLER (VOLVO BUS),38,6
HAVAL,38,6
OMC (OUTBOARD MARINE CORP.),38,5
PRINOTH,37,23
ROPA,37,18
SCANIA ENGINES,37,9
MENZI MUCK,36,22
DOPPSTADT,36,21
OTOKAR,36,17
MUIR HILL,36,9
SAURER,36,9
HANOMAG TRAKTOREN,36,6
ARBOS,36,5
BRIGGS + STRATTON,36,3
BERGMANN,35,16
WHITE,35,12
EDER BAGGER,35,10
SOLE MARINE DIESEL,34,17
徐工 / XCMG,34,13
SCHULZ (Compressors),34,8
BITELLI (CATERPILLAR),34,7
谛艾仕 (长安标致雪铁龙) / DS (CAPSA),34,6
CHRYSLER (USA),34,4
LEYLAND TRACTORS,34,4
斯柯达(上汽大众) / SKODA (SVW),34,2
PETTER,33,13
MAGNI,33,11
YALE,33,10
VETUS MARINE ENGINES,33,7
领克 / LYNK & CO,33,3
柳工 / LIUGONG,32,17
SUNWARD,32,16
WEATHERILL,32,11
AUSA,32,10
SOMECA,32,7
HYDRA-MAC,32,5
凯迪拉克(上海通用) / CADILLAC (SGM),32,4
HYDREMA,31,14
INFINITI (USA),31,8
METRO-CAMMELL-WEYMANN,30,19
RAMMAX (AMMANN GROUP),30,17
BELARUS TRACTORS,30,14
POWER SYSTEM,30,3
